id;name;artists;popularity;year;release_date
3TwtrR1yNLY1PMPsrGQpOp;Superman (It's Not Easy);['Five For Fighting'];70;2000;26/09/2000
32h59T8q2SonUPJ006lyXt;This Christmas;['Christina Aguilera'];67;2000;03/11/2000
3LI4MmibTkXH5cGpCGZgyw;Teenage Dirtbag;['Wheatus'];69;2000;29/09/2000
5KDNFlHAdDJ84fhK27c35X;Judith;['A Perfect Circle'];66;2000;01/01/2000
5aivQ5CkXXHJoMLy0o92HL;You Send Me;['Sam Cooke'];64;2000;26/09/2000
1m2xMsxbtxv21Brome189p;I Wanna Know;['Joe'];65;2000;18/04/2000
2gSVKxPDww9Eep5rdvtdem;My Way;['Limp Bizkit'];71;2000;17/10/2000
46n2EGFnPC3tzWCN1Aqe26;This I Promise You;['*NSYNC'];70;2000;21/03/2000
0OvwzS8FX73Bw7ykMRmffU;Put It On Me;['Ja Rule', 'Vita'];64;2000;01/01/2000
0iV9yfj1knFNOSEiuTHZwl;Have Yourself a Merry Little Christmas;['Christina Aguilera'];66;2000;03/11/2000
1msuiw6pnXYfxZ7Edyit9U;"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack";['Faith Hill'];62;2000;01/01/2000
5YBVDvTSSSiqv7KZDeUlXA;Renegades Of Funk;['Rage Against The Machine'];66;2000;05/12/2000
3WibbMr6canxRJXhNtAvLU;B.O.B. - Bombs Over Baghdad;['OutKast'];64;2000;31/10/2000
2f5N826udWfjT9iomeaBJt;If You're Gone;['Matchbox Twenty'];66;2000;23/05/2000
7pv80uUHfocFqfTytu1MVi;Didn't Cha Know;['Erykah Badu'];64;2000;31/10/2000
09RhTAi0nuzCs5KS2XWSs5;Faggot;['Mindless Self Indulgence'];65;2000;11/02/2000
7MiLmLbwNoyf47xQ4TCVYp;Papa Was A Rollin' Stone - Single Version;['The Temptations'];67;2000;11/01/2000
7lgvU7WnwcNZ8dbGUz8yhP;Bitch Please II;['Eminem', 'Dr. Dre', 'Snoop Dogg', 'Xzibit', 'Nate Dogg'];69;2000;23/05/2000
7vrLphPq4yjaX7jiDdd2Nc;Dig;['Mudvayne'];63;2000;13/08/2000
4LlNoNZflek4hZyZigCxpW;Just Another Day In Paradise;['Phil Vassar'];61;2000;21/02/2000
3tSmXSxaAnU1EPGKa6NytH;In the End;['Linkin Park'];65;2000;24/10/2000
4y8G3pyyBvBKd47iyvHBNj;My Axe;['Insane Clown Posse'];60;2000;01/01/2000
35o9a4iAfLl5jRmqMX9c1D;Shape of My Heart;['Backstreet Boys'];73;2000;21/11/2000
7f1Dmr246cJ9uQYdbplTbh;He Wasn't Man Enough;['Toni Braxton'];68;2000;2000
7jtbRKtXtGtsJOBMaBo72W;Me Gustas;['Joan Sebastian'];71;2000;05/04/2000
58rdbCe3SBJuJeWEJa8Htm;Modern Day Bonnie and Clyde;['Travis Tritt'];60;2000;01/10/2000
4DPQvbgSM0IdX4O3HOACwL;Treefingers;['Radiohead'];63;2000;01/10/2000
1yxJIFPhP2EqnQ6oWJKbmP;Mis Tres Viejas;['Los Tucanes De Tijuana'];64;2000;14/11/2000
7H3ojI1BsVy0dEJENqMt1k;By Your Side;['Sade'];68;2000;13/11/2000
4sUoWHVnJl8z3t4zdqf6xB;I'm Like A Bird;['Nelly Furtado'];61;2000;01/01/2000
0R8P9KfGJCDULmlEoBagcO;Trouble;['Coldplay'];72;2000;10/07/2000
